UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_id
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,M_1225
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,M_1226
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,M_1232
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,M_1235
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,M_1236
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,M_1237
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,M_1241
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,M_1243
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,M_1246
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,M_1249
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,M_1255
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,M_1258
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,M_1260
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,M_1261
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,M_1262
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,M_1264
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,M_1269
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,M_1271
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,M_1277
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,M_1280
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,M_1281
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,M_1282
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,M_1285
295,M15154,M,298.1,308.5,1372,51.1,116,0,0,0,0,0,0,M_1294
302,L47481,L,297.7,308.4,1740,27.1,136,0,0,0,0,0,0,M_1301
303,H29716,H,297.8,308.4,1512,35.1,138,0,0,0,0,0,0,M_1302
307,L47486,L,297.8,308.4,1374,47.1,150,0,0,0,0,0,0,M_1306
314,L47493,L,298.0,308.6,1313,50.8,170,0,0,0,0,0,0,M_1313
318,L47497,L,297.8,308.4,1685,28.4,179,0,0,0,0,0,0,M_1317
330,H29743,H,297.7,308.5,1720,29.9,210,0,0,0,0,0,0,M_1329
339,L47518,L,297.5,308.2,1563,38.2,15,0,0,0,0,0,0,M_1338
341,L47520,L,297.4,308.1,1474,39.4,20,0,0,0,0,0,0,M_1340
342,M15201,M,297.4,308.2,1530,32.6,22,0,0,0,0,0,0,M_1341
343,L47522,L,297.4,308.2,1471,46.5,25,0,0,0,0,0,0,M_1342
344,L47523,L,297.5,308.3,1388,48.6,27,0,0,0,0,0,0,M_1343
346,L47525,L,297.5,308.3,1585,32.9,32,0,0,0,0,0,0,M_1345
353,M15212,M,297.6,308.4,1507,46.0,51,0,0,0,0,0,0,M_1352
360,M15219,M,297.6,308.3,1567,34.6,71,0,0,0,0,0,0,M_1359
362,L47541,L,297.5,308.3,1596,36.8,77,0,0,0,0,0,0,M_1361
363,H29776,H,297.6,308.3,1640,30.9,79,0,0,0,0,0,0,M_1362
364,L47543,L,297.6,308.3,1438,47.8,84,0,0,0,0,0,0,M_1363
365,L47544,L,297.6,308.4,1407,55.2,86,0,0,0,0,0,0,M_1364
366,L47545,L,297.6,308.4,1353,57.5,88,0,0,0,0,0,0,M_1365
370,H29783,H,297.5,308.4,1587,36.1,98,0,0,0,0,0,0,M_1369
371,M15230,M,297.5,308.3,1622,37.2,103,0,0,0,0,0,0,M_1370
375,L47554,L,297.4,308.3,1431,43.0,113,0,0,0,0,0,0,M_1374
378,M15237,M,297.4,308.2,1424,53.9,120,0,0,0,0,0,0,M_1377
385,L47564,L,297.5,308.5,1712,26.8,136,0,0,0,0,0,0,M_1384
391,L47570,L,297.6,308.7,1460,46.7,150,0,0,0,0,0,0,M_1390
392,L47571,L,297.6,308.6,1491,38.1,152,0,0,0,0,0,0,M_1391
393,M15252,M,297.6,308.5,1490,43.4,154,0,0,0,0,0,0,M_1392
396,L47575,L,297.4,308.3,1571,37.7,162,0,0,0,0,0,0,M_1395
399,H29812,H,297.4,308.3,1502,43.6,169,0,0,0,0,0,0,M_1398
400,L47579,L,297.4,308.4,1392,49.7,174,0,0,0,0,0,0,M_1399
405,L47584,L,297.3,308.6,1297,45.9,184,0,0,0,0,0,0,M_1404
406,L47585,L,297.3,308.5,1350,57.6,186,0,0,0,0,0,0,M_1405
407,L47586,L,297.4,308.6,1439,51.9,188,0,0,0,0,0,0,M_1406
408,M15267,M,297.4,308.5,1600,42.1,190,0,0,0,0,0,0,M_1407
413,L47592,L,297.5,308.6,1388,48.2,203,0,0,0,0,0,0,M_1412
418,L47597,L,297.4,308.4,1394,50.1,213,0,0,0,0,0,0,M_1417
420,M15279,M,297.3,308.3,1501,38.2,2,0,0,0,0,0,0,M_1419
424,L47603,L,297.3,308.3,1484,43.9,13,0,0,0,0,0,0,M_1423
425,L47604,L,297.3,308.4,1430,45.7,15,0,0,0,0,0,0,M_1424
432,L47611,L,297.5,308.5,1446,41.9,32,0,0,0,0,0,0,M_1431
442,H29855,H,297.5,308.5,1393,46.6,56,0,0,0,0,0,0,M_1441
449,L47628,L,297.5,308.6,1552,44.9,77,0,0,0,0,0,0,M_1448
455,L47634,L,297.4,308.7,1468,46.6,94,0,0,0,0,0,0,M_1454
457,H29870,H,297.3,308.7,1478,47.6,98,0,0,0,0,0,0,M_1456
459,L47638,L,297.3,308.6,1486,42.6,105,0,0,0,0,0,0,M_1458
460,L47639,L,297.4,308.6,1476,42.3,107,0,0,0,0,0,0,M_1459
461,H29874,H,297.3,308.6,1431,42.0,109,0,0,0,0,0,0,M_1460
465,L47644,L,297.3,308.6,1511,35.7,120,0,0,0,0,0,0,M_1464
467,L47646,L,297.2,308.5,1550,41.5,125,0,0,0,0,0,0,M_1466
476,L47655,L,297.4,309.1,1380,41.1,152,0,0,0,0,0,0,M_1475
482,M15341,M,297.3,309.0,1556,39.5,168,0,0,0,0,0,0,M_1481
483,L47662,L,297.3,309.0,1548,37.4,171,0,0,0,0,0,0,M_1482
485,L47664,L,297.4,309.0,1568,33.7,175,0,0,0,0,0,0,M_1484
489,L47668,L,297.4,309.2,1584,42.8,186,0,0,0,0,0,0,M_1488
500,L47679,L,297.5,309.1,1515,35.1,213,0,0,0,0,0,0,M_1499
503,L47682,L,297.6,309.2,1390,43.3,221,0,0,0,0,0,0,M_1502
505,M15364,M,297.6,309.3,1529,41.9,3,0,0,0,0,0,0,M_1504
513,L47692,L,297.5,309.2,1426,44.8,24,0,0,0,0,0,0,M_1512
515,L47694,L,297.4,309.2,1620,33.2,28,0,0,0,0,0,0,M_1514
522,L47701,L,297.5,309.4,1497,35.8,44,0,0,0,0,0,0,M_1521
523,M15382,M,297.5,309.5,1448,43.7,46,0,0,0,0,0,0,M_1522
524,L47703,L,297.4,309.4,1401,45.9,49,0,0,0,0,0,0,M_1523
526,L47705,L,297.4,309.4,1466,45.5,53,0,0,0,0,0,0,M_1525
527,L47706,L,297.6,309.5,1373,50.6,55,0,0,0,0,0,0,M_1526
530,L47709,L,297.6,309.5,1569,36.2,63,0,0,0,0,0,0,M_1529
537,L47716,L,297.4,309.3,1759,24.8,81,0,0,0,0,0,0,M_1536
538,H29951,H,297.4,309.3,1516,43.0,83,0,0,0,0,0,0,M_1537
540,M15399,M,297.4,309.3,1775,25.8,91,0,0,0,0,0,0,M_1539
542,L47721,L,297.4,309.4,1296,52.3,96,0,0,0,0,0,0,M_1541
543,L47722,L,297.5,309.4,1803,24.7,98,0,0,0,0,0,0,M_1542
546,L47725,L,297.6,309.4,1958,22.1,108,0,0,0,0,0,0,M_1545
547,L47726,L,297.5,309.4,1809,24.3,110,0,0,0,0,0,0,M_1546
553,M15412,M,297.4,309.3,1622,35.0,123,0,0,0,0,0,0,M_1552
557,L47736,L,297.5,309.4,1357,50.1,137,0,0,0,0,0,0,M_1556
560,L47739,L,297.5,309.4,1503,40.6,144,0,0,0,0,0,0,M_1559
561,L47740,L,297.5,309.4,1318,58.2,146,0,0,0,0,0,0,M_1560
563,L47742,L,297.6,309.5,1574,30.9,151,0,0,0,0,0,0,M_1562
570,M15429,M,297.7,309.6,1596,35.2,173,0,0,0,0,0,0,M_1569
572,M15431,M,297.8,309.8,1676,29.0,178,0,0,0,0,0,0,M_1571
573,L47752,L,297.8,309.9,1351,49.0,181,0,0,0,0,0,0,M_1572
575,M15434,M,297.9,310.0,1439,41.7,185,0,0,0,0,0,0,M_1574
576,M15435,M,297.9,309.9,1410,55.4,188,0,0,0,0,0,0,M_1575
581,M15440,M,297.8,309.8,1798,25.5,203,0,0,0,0,0,0,M_1580
582,L47761,L,297.8,309.7,1394,42.9,206,0,0,0,0,0,0,M_1581
584,H29997,H,297.7,309.6,1697,32.2,210,0,0,0,0,0,0,M_1583
588,H30001,H,297.6,309.5,1623,33.1,224,0,0,0,0,0,0,M_1587
594,L47773,L,297.5,309.6,1312,50.7,0,0,0,0,0,0,0,M_1593
596,M15455,M,297.6,309.6,1330,53.1,7,0,0,0,0,0,0,M_1595
598,H30011,H,297.6,309.6,1428,46.6,13,0,0,0,0,0,0,M_1597
601,L47780,L,297.8,309.7,1547,37.3,25,0,0,0,0,0,0,M_1600
607,L47786,L,297.9,309.8,1461,50.5,38,0,0,0,0,0,0,M_1606
609,L47788,L,298.0,309.9,1403,47.7,43,0,0,0,0,0,0,M_1608
611,L47790,L,298.1,310.0,1534,33.7,47,0,0,0,0,0,0,M_1610
613,L47792,L,298.1,309.9,1563,32.8,51,0,0,0,0,0,0,M_1612
615,M15474,M,298.0,309.9,1445,45.2,55,0,0,0,0,0,0,M_1614
620,L47799,L,298.3,310.0,1507,44.7,73,0,0,0,0,0,0,M_1619
630,L47809,L,298.3,310.1,1523,45.9,99,0,0,0,0,0,0,M_1629
631,L47810,L,298.3,310.0,1460,47.6,101,0,0,0,0,0,0,M_1630
632,L47811,L,298.4,310.0,1554,37.3,103,0,0,0,0,0,0,M_1631
633,H30046,H,298.3,310.0,1419,47.1,105,0,0,0,0,0,0,M_1632
635,L47814,L,298.3,309.9,1507,41.6,112,0,0,0,0,0,0,M_1634
636,L47815,L,298.3,310.0,1858,23.9,114,0,0,0,0,0,0,M_1635
639,L47818,L,298.0,309.6,1536,37.3,120,0,0,0,0,0,0,M_1638
640,L47819,L,298.0,309.6,1403,51.3,122,0,0,0,0,0,0,M_1639
646,L47825,L,297.7,309.4,1392,44.1,140,0,0,0,0,0,0,M_1645
647,M15506,M,297.7,309.4,1461,43.7,142,0,0,0,0,0,0,M_1646
652,L47831,L,297.6,309.1,1503,38.9,157,0,0,0,0,0,0,M_1651
660,L47839,L,297.6,309.1,1449,49.1,174,0,0,0,0,0,0,M_1659
661,M15520,M,297.7,309.2,1700,27.4,176,0,0,0,0,0,0,M_1660
662,M15521,M,297.6,309.0,1427,45.6,179,0,0,0,0,0,0,M_1661
664,L47843,L,297.5,308.9,1469,44.0,185,0,0,0,0,0,0,M_1663
667,L47846,L,297.5,309.0,1470,43.5,191,0,0,0,0,0,0,M_1666
668,L47847,L,297.5,308.9,1459,48.5,193,0,0,0,0,0,0,M_1667
670,H30083,H,297.5,308.9,1471,37.7,197,0,0,0,0,0,0,M_1669
672,L47851,L,297.5,308.9,1554,34.8,204,0,0,0,0,0,0,M_1671
686,M15545,M,297.7,309.0,1636,29.7,32,0,0,0,0,0,0,M_1685
687,M15546,M,297.7,309.0,1504,40.4,35,0,0,0,0,0,0,M_1686
688,M15547,M,297.7,309.0,1531,42.4,38,0,0,0,0,0,0,M_1687
689,H30102,H,297.6,309.0,1735,26.4,41,0,0,0,0,0,0,M_1688
690,H30103,H,297.6,309.0,1354,55.6,46,0,0,0,0,0,0,M_1689
698,M15557,M,297.6,308.8,1453,39.7,69,0,0,0,0,0,0,M_1697
699,L47878,L,297.6,308.8,1539,40.2,72,0,0,0,0,0,0,M_1698
700,H30113,H,297.5,308.7,1416,39.2,74,0,0,0,0,0,0,M_1699
703,M15562,M,297.7,308.9,1531,48.3,84,0,0,0,0,0,0,M_1702
704,H30117,H,297.7,308.9,1479,40.9,87,0,0,0,0,0,0,M_1703
708,L47887,L,297.7,308.9,1838,27.3,99,0,0,0,0,0,0,M_1707
715,L47894,L,297.4,308.6,1609,36.2,116,0,0,0,0,0,0,M_1714
717,H30130,H,297.4,308.6,1420,45.8,120,0,0,0,0,0,0,M_1716
718,L47897,L,297.4,308.7,1545,36.9,125,0,0,0,0,0,0,M_1717
724,M15583,M,297.4,308.9,1500,46.3,137,0,0,0,0,0,0,M_1723
727,M15586,M,297.4,308.8,1628,37.4,144,0,0,0,0,0,0,M_1726
728,H30141,H,297.3,308.6,1499,37.6,147,0,0,0,0,0,0,M_1727
729,M15588,M,297.4,308.7,1425,50.3,152,0,0,0,0,0,0,M_1728
761,L47940,L,296.7,307.8,1505,39.4,236,0,0,0,0,0,0,M_1760
768,L47947,L,296.9,308.0,1546,31.1,11,0,0,0,0,0,0,M_1767
769,L47948,L,296.9,308.0,1713,29.3,13,0,0,0,0,0,0,M_1768
770,L47949,L,296.9,308.0,1343,44.5,15,0,0,0,0,0,0,M_1769
771,L47950,L,296.8,308.0,1391,54.4,17,0,0,0,0,0,0,M_1770
772,H30185,H,296.8,308.0,1311,58.6,19,0,0,0,0,0,0,M_1771
773,H30186,H,296.8,308.0,1453,51.0,24,0,0,0,0,0,0,M_1772
776,L47955,L,296.7,307.8,1453,46.0,33,0,0,0,0,0,0,M_1775
779,L47958,L,296.7,308.0,1580,32.2,39,0,0,0,0,0,0,M_1778
781,M15640,M,296.9,308.0,1409,50.7,43,0,0,0,0,0,0,M_1780
782,L47961,L,296.8,308.0,1675,29.7,46,0,0,0,0,0,0,M_1781
785,L47964,L,296.7,307.9,1743,27.9,55,0,0,0,0,0,0,M_1784
789,M15648,M,296.9,308.1,1440,46.3,64,0,0,0,0,0,0,M_1788
792,L47971,L,296.8,307.9,1611,35.4,72,0,0,0,0,0,0,M_1791
793,L47972,L,296.8,307.8,1373,42.9,74,0,0,0,0,0,0,M_1792
794,M15653,M,296.8,307.9,1683,31.8,76,0,0,0,0,0,0,M_1793
805,M15664,M,296.9,307.8,1544,37.6,109,0,0,0,0,0,0,M_1804
807,M15666,M,297.0,307.9,1422,53.0,115,0,0,0,0,0,0,M_1806
815,M15674,M,296.8,307.5,1470,45.9,132,0,0,0,0,0,0,M_1814
820,L47999,L,296.8,307.6,1398,46.7,144,0,0,0,0,0,0,M_1819
823,M15682,M,296.7,307.6,1547,34.7,150,0,0,0,0,0,0,M_1822
824,M15683,M,296.6,307.5,1482,39.9,153,0,0,0,0,0,0,M_1823
825,L48004,L,296.6,307.4,1436,42.8,156,0,0,0,0,0,0,M_1824
826,L48005,L,296.6,307.3,1474,40.0,158,0,0,0,0,0,0,M_1825
828,L48007,L,296.5,307.3,1501,42.1,162,0,0,0,0,0,0,M_1827
831,L48010,L,296.6,307.4,1631,35.0,168,0,0,0,0,0,0,M_1830
833,L48012,L,296.6,307.4,1521,38.6,173,0,0,0,0,0,0,M_1832
837,L48016,L,296.6,307.4,1368,45.1,185,0,0,0,0,0,0,M_1836
840,M15699,M,296.5,307.4,1565,43.5,194,0,0,0,0,0,0,M_1839
841,L48020,L,296.6,307.5,1582,37.9,197,0,0,0,0,0,0,M_1840
846,L48025,L,296.3,307.3,1439,41.5,208,0,0,0,0,0,0,M_1845
847,M15706,M,296.4,307.4,1416,50.0,210,0,0,0,0,0,0,M_1846
852,M15711,M,296.2,307.2,1389,48.6,7,0,0,0,0,0,0,M_1851
854,L48033,L,296.3,307.3,1444,49.0,13,0,0,0,0,0,0,M_1853
855,M15714,M,296.3,307.3,1498,41.6,15,0,0,0,0,0,0,M_1854
856,L48035,L,296.1,307.2,1615,30.8,18,0,0,0,0,0,0,M_1855
861,H30274,H,296.1,306.9,1541,32.6,33,0,0,0,0,0,0,M_1860
864,L48043,L,296.0,306.7,1416,44.2,46,0,0,0,0,0,0,M_1863
868,H30281,H,295.9,306.5,1594,33.2,55,0,0,0,0,0,0,M_1867
875,L48054,L,295.9,306.4,1575,28.5,74,0,0,0,0,0,0,M_1874
876,M15735,M,295.8,306.3,1444,45.5,76,0,0,0,0,0,0,M_1875
877,L48056,L,295.7,306.3,1915,22.4,79,0,0,0,0,0,0,M_1876
879,M15738,M,295.7,306.3,1685,34.9,84,0,0,0,0,0,0,M_1878
883,M15742,M,295.7,306.2,1739,25.9,94,0,0,0,0,0,0,M_1882
892,L48071,L,295.7,306.1,1408,47.9,117,0,0,0,0,0,0,M_1891
893,L48072,L,295.7,306.1,1343,54.4,119,0,0,0,0,0,0,M_1892
895,L48074,L,295.6,306.2,1426,48.6,124,0,0,0,0,0,0,M_1894
896,M15755,M,295.6,306.2,1435,51.6,126,0,0,0,0,0,0,M_1895
900,H30313,H,295.6,306.2,1329,55.3,135,0,0,0,0,0,0,M_1899
901,L48080,L,295.6,306.2,1569,35.1,140,0,0,0,0,0,0,M_1900
906,L48085,L,295.6,306.1,1474,41.2,156,0,0,0,0,0,0,M_1905
918,L48097,L,295.3,305.7,1475,51.0,187,0,0,0,0,0,0,M_1917
919,M15778,M,295.3,305.7,1473,38.5,189,0,0,0,0,0,0,M_1918
921,M15780,M,295.5,305.9,1518,44.1,194,0,0,0,0,0,0,M_1920
923,M15782,M,295.5,305.9,1380,52.4,202,0,0,0,0,0,0,M_1922
924,M15783,M,295.5,306.0,1423,45.3,205,0,0,0,0,0,0,M_1923
925,L48104,L,295.5,306.0,1800,27.6,208,0,0,0,0,0,0,M_1924
929,L48108,L,295.6,306.0,1949,21.9,5,0,0,0,0,0,0,M_1928
931,M15790,M,295.5,305.9,1453,47.3,9,0,0,0,0,0,0,M_1930
934,L48113,L,295.5,306.0,1597,37.2,16,0,0,0,0,0,0,M_1933
936,M15795,M,295.5,306.0,1641,36.6,21,0,0,0,0,0,0,M_1935
937,M15796,M,295.6,306.1,1418,46.2,24,0,0,0,0,0,0,M_1936
944,M15803,M,295.6,306.2,1477,45.0,40,0,0,0,0,0,0,M_1943
949,M15808,M,295.6,306.3,1426,45.5,53,0,0,0,0,0,0,M_1948
951,L48130,L,295.6,306.2,1424,42.5,58,0,0,0,0,0,0,M_1950
952,H30365,H,295.6,306.3,1509,35.8,60,0,0,0,0,0,0,M_1951
954,L48133,L,295.5,306.1,1650,32.8,67,0,0,0,0,0,0,M_1953
955,H30368,H,295.6,306.2,1414,42.5,69,0,0,0,0,0,0,M_1954
956,L48135,L,295.6,306.3,1911,20.9,74,0,0,0,0,0,0,M_1955
957,H30370,H,295.6,306.2,1632,32.2,76,0,0,0,0,0,0,M_1956
960,L48139,L,295.8,306.5,1505,35.2,86,0,0,0,0,0,0,M_1959
963,M15822,M,295.8,306.6,1480,43.2,92,0,0,0,0,0,0,M_1962
964,L48143,L,295.8,306.6,1621,31.6,95,0,0,0,0,0,0,M_1963
967,M15826,M,295.8,306.5,1641,32.2,101,0,0,0,0,0,0,M_1966
969,L48148,L,295.9,306.7,1547,40.9,107,0,0,0,0,0,0,M_1968
975,L48154,L,296.0,306.6,1511,35.2,119,0,0,0,0,0,0,M_1974
977,M15836,M,296.0,306.6,1392,51.3,124,0,0,0,0,0,0,M_1976
981,L48160,L,296.1,306.7,1409,42.8,134,0,0,0,0,0,0,M_1980
985,L48164,L,296.3,307.1,1419,48.6,142,0,0,0,0,0,0,M_1984
986,L48165,L,296.4,307.2,1748,25.3,144,0,0,0,0,0,0,M_1985
987,H30400,H,296.4,307.1,1638,32.5,146,0,0,0,0,0,0,M_1986
988,M15847,M,296.3,307.1,1534,33.8,151,0,0,0,0,0,0,M_1987
989,H30402,H,296.3,307.1,1774,25.9,154,0,0,0,0,0,0,M_1988
996,L48175,L,296.3,307.3,1566,35.8,175,0,0,0,0,0,0,M_1995
1001,L48180,L,296.3,307.1,1654,29.6,188,0,0,0,0,0,0,M_2000
1008,M15867,M,296.2,307.2,1633,31.1,0,0,0,0,0,0,0,M_2007
1012,M15871,M,296.2,307.3,1451,42.8,11,0,0,0,0,0,0,M_2011
1013,M15872,M,296.1,307.1,1433,38.5,14,0,0,0,0,0,0,M_2012
1014,M15873,M,296.1,307.2,1619,29.7,17,0,0,0,0,0,0,M_2013
1016,L48195,L,296.2,307.2,1356,43.6,22,0,0,0,0,0,0,M_2015
1017,M15876,M,296.3,307.2,1319,68.3,24,1,0,0,1,0,0,M_2016
1020,L48199,L,296.3,307.3,1398,52.7,31,0,0,0,0,0,0,M_2019
1022,M15881,M,296.3,307.2,1454,42.5,35,0,0,0,0,0,0,M_2021
1029,L48208,L,296.3,307.4,1472,39.9,51,0,0,0,0,0,0,M_2028
1032,L48211,L,296.4,307.5,1549,36.1,58,0,0,0,0,0,0,M_2031
1038,H30451,H,296.4,307.5,1596,35.1,75,0,0,0,0,0,0,M_2037
1041,L48220,L,296.7,307.7,1502,43.9,84,0,0,0,0,0,0,M_2040
1044,L48223,L,296.5,307.6,1431,45.2,90,0,0,0,0,0,0,M_2043
1046,H30459,H,296.4,307.5,1403,52.8,94,0,0,0,0,0,0,M_2045
1049,L48228,L,296.5,307.6,1607,33.5,104,0,0,0,0,0,0,M_2048
1051,L48230,L,296.6,307.6,1671,28.8,108,0,0,0,0,0,0,M_2050
1059,L48238,L,296.7,307.8,1605,31.3,128,0,0,0,0,0,0,M_2058
1060,M15919,M,296.7,307.9,1874,21.3,130,0,0,0,0,0,0,M_2059
1061,H30474,H,296.7,307.9,1424,53.8,133,0,0,0,0,0,0,M_2060
1063,L48242,L,296.8,307.9,1372,49.0,140,0,0,0,0,0,0,M_2062
1064,M15923,M,296.8,307.8,1664,32.8,142,0,0,0,0,0,0,M_2063
1066,L48245,L,296.8,307.9,1718,25.2,148,0,0,0,0,0,0,M_2065
1067,M15926,M,296.9,307.8,1544,40.3,150,0,0,0,0,0,0,M_2066
1068,L48247,L,296.9,307.8,1466,45.7,153,0,0,0,0,0,0,M_2067
1070,M15929,M,296.9,307.8,1840,24.6,157,0,0,0,0,0,0,M_2069
1071,M15930,M,296.9,307.8,1477,37.2,160,0,0,0,0,0,0,M_2070
1073,M15932,M,297.0,307.9,1414,46.2,165,0,0,0,0,0,0,M_2072
1078,L48257,L,296.8,307.6,1547,36.5,179,0,0,0,0,0,0,M_2077
1081,L48260,L,297.0,307.8,1774,28.0,188,0,0,0,0,0,0,M_2080
1082,L48261,L,297.0,307.8,1521,40.2,190,0,0,0,0,0,0,M_2081
1086,L48265,L,297.0,307.8,1385,56.4,202,1,0,0,0,1,0,M_2085
1090,M15949,M,296.9,307.7,2008,17.5,3,0,0,0,0,0,0,M_2089
