UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_id
8285,L55464,L,298.8,310.6,1651,33.3,0,0,0,0,0,0,0,M_9284
4994,L52173,L,303.8,312.9,1819,23.7,16,0,0,0,0,0,0,M_5993
8128,M22987,M,300.1,311.3,1650,33.8,38,0,0,0,0,0,0,M_9127
3033,M17892,M,300.6,309.8,1447,42.9,12,0,0,0,0,0,0,M_4032
7939,L55118,L,300.8,311.7,1681,31.3,221,0,0,0,0,0,0,M_8938
3040,M17899,M,300.3,309.5,1665,31.4,32,0,0,0,0,0,0,M_4039
9656,H39069,H,299.1,310.0,1431,49.5,205,0,0,0,0,0,0,M_10655
2546,M17405,M,299.2,309.0,1541,36.3,104,0,0,0,0,0,0,M_3545
2593,L49772,L,298.9,308.6,1539,45.4,4,0,0,0,0,0,0,M_3592
1189,L48368,L,297.3,308.4,1339,52.1,36,0,0,0,0,0,0,M_2188
7967,L55146,L,301.0,312.2,1602,35.9,67,0,0,0,0,0,0,M_8966
6078,L53257,L,300.9,310.7,1479,43.3,201,0,0,0,0,0,0,M_7077
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,M_1107
1316,L48495,L,299.0,310.3,1520,45.0,171,0,0,0,0,0,0,M_2315
8188,L55367,L,299.6,310.9,1448,46.3,196,0,0,0,0,0,0,M_9187
2754,L49933,L,299.7,309.1,1715,27.8,192,0,0,0,0,0,0,M_3753
9754,L56933,L,298.5,309.8,1593,35.1,203,0,0,0,0,0,0,M_10753
6232,M21091,M,301.3,311.0,1495,40.8,148,0,0,0,0,0,0,M_7231
2877,M17736,M,300.5,309.3,1578,30.5,34,0,0,0,0,0,0,M_3876
5324,M20183,M,303.4,312.7,1399,48.4,34,0,0,0,0,0,0,M_6323
800,M15659,M,297.0,307.8,1579,34.1,94,0,0,0,0,0,0,M_1799
3571,H32984,H,301.8,310.6,1441,46.3,100,0,0,0,0,0,0,M_4570
2895,L50074,L,300.7,309.6,1733,24.8,85,0,0,0,0,0,0,M_3894
2928,M17787,M,300.7,309.6,1421,49.8,165,0,0,0,0,0,0,M_3927
8179,L55358,L,299.7,311.2,1352,52.1,176,0,0,0,0,0,0,M_9178
972,L48151,L,295.9,306.6,1557,41.1,113,0,0,0,0,0,0,M_1971
6688,L53867,L,301.7,311.0,1700,28.7,19,0,0,0,0,0,0,M_7687
8576,M23435,M,297.6,308.3,1648,29.1,134,0,0,0,0,0,0,M_9575
2021,H31434,H,298.7,308.4,1560,33.3,53,0,0,0,0,0,0,M_3020
9055,M23914,M,297.3,308.4,1521,38.2,87,0,0,0,0,0,0,M_10054
953,L48132,L,295.5,306.2,1448,48.9,65,0,0,0,0,0,0,M_1952
5360,M20219,M,303.3,312.6,1397,47.1,137,0,0,0,0,0,0,M_6359
3858,H33271,H,302.4,311.2,1506,40.8,204,0,0,0,0,0,0,M_4857
5862,L53041,L,301.3,311.0,1554,47.7,84,0,0,0,0,0,0,M_6861
3146,M18005,M,300.5,310.0,1415,43.5,98,0,0,0,0,0,0,M_4145
3306,M18165,M,301.3,310.4,1577,48.3,78,0,0,0,0,0,0,M_4305
3007,L50186,L,300.4,309.7,1488,35.7,177,0,0,0,0,0,0,M_4006
9002,L56181,L,297.0,307.8,1500,39.9,175,0,0,0,0,0,0,M_10001
7771,L54950,L,300.3,311.5,1548,32.2,25,0,0,0,0,0,0,M_8770
7439,L54618,L,299.9,311.3,1647,27.5,26,0,0,0,0,0,0,M_8438
7943,L55122,L,300.8,311.7,1432,45.8,6,0,0,0,0,0,0,M_8942
9239,M24098,M,298.2,308.8,1456,41.2,150,0,0,0,0,0,0,M_10238
1057,L48236,L,296.8,307.8,1565,39.5,124,0,0,0,0,0,0,M_2056
3155,L50334,L,300.4,309.7,1534,42.5,127,0,0,0,0,0,0,M_4154
3788,L50967,L,302.3,310.8,1377,47.3,22,1,0,1,0,0,0,M_4787
9190,L56369,L,297.9,309.1,1595,32.0,32,0,0,0,0,0,0,M_10189
7826,M22685,M,299.9,311.2,1579,35.5,162,0,0,0,0,0,0,M_8825
7540,L54719,L,300.2,311.3,1487,36.9,71,0,0,0,0,0,0,M_8539
7232,L54411,L,299.8,309.9,1553,36.6,157,0,0,0,0,0,0,M_8231
765,L47944,L,296.8,307.9,1337,56.5,5,0,0,0,0,0,0,M_1764
5020,M19879,M,304.0,313.1,1466,39.5,83,0,0,0,0,0,0,M_6019
4904,L52083,L,303.6,312.4,2232,16.8,0,0,0,0,0,0,0,M_5903
8094,L55273,L,300.2,311.6,1511,35.7,160,0,0,0,0,0,0,M_9093
6844,L54023,L,301.3,311.3,1509,42.5,213,0,0,0,0,0,0,M_7843
2166,L49345,L,299.5,309.1,1476,47.8,223,0,0,0,0,0,0,M_3165
1863,L49042,L,297.9,307.7,1517,44.4,67,0,0,0,0,0,0,M_2862
7851,M22710,M,300.3,311.7,1447,36.8,0,0,0,0,0,0,0,M_8850
9124,L56303,L,297.4,308.5,1462,42.8,68,0,0,0,0,0,0,M_10123
2341,L49520,L,299.1,308.1,1479,40.7,10,0,0,0,0,0,0,M_3340
5528,M20387,M,302.5,311.9,1532,38.8,96,0,0,0,0,0,0,M_6527
6744,L53923,L,301.7,311.2,1418,38.0,166,0,0,0,0,0,0,M_7743
4004,L51183,L,302.1,311.2,1519,39.3,155,0,0,0,0,0,0,M_5003
1124,H30537,H,296.6,307.7,1386,62.3,100,1,0,0,1,0,0,M_2123
8710,L55889,L,297.1,308.5,1578,35.6,46,0,0,0,0,0,0,M_9709
4050,L51229,L,301.8,310.8,1505,41.2,33,0,0,0,0,0,0,M_5049
7641,L54820,L,300.4,311.3,1608,35.1,114,0,0,0,0,0,0,M_8640
766,L47945,L,296.9,308.0,1332,53.9,7,0,0,0,0,0,0,M_1765
2345,M17204,M,299.2,308.3,1755,26.4,19,0,0,0,0,0,0,M_3344
4072,L51251,L,301.9,310.6,1331,68.6,85,1,0,0,1,0,0,M_5071
7217,M22076,M,300.0,309.9,1651,28.1,114,0,0,0,0,0,0,M_8216
4217,L51396,L,301.9,310.7,1370,50.3,20,0,0,0,0,0,0,M_5216
7953,M22812,M,300.9,311.9,1480,40.9,28,0,0,0,0,0,0,M_8952
5971,L53150,L,300.4,310.8,1520,37.6,151,0,0,0,0,0,0,M_6970
3351,L50530,L,301.4,310.8,1285,62.6,183,1,0,0,0,1,0,M_4350
4696,L51875,L,303.3,311.6,1514,34.7,130,0,0,0,0,0,0,M_5695
3400,L50579,L,301.4,310.7,1605,34.2,94,0,0,0,0,0,0,M_4399
4082,L51261,L,302.0,310.4,1336,58.2,110,1,0,1,0,0,0,M_5081
9150,M24009,M,297.5,308.6,1429,50.5,129,0,0,0,0,0,0,M_10149
1225,L48404,L,297.1,308.3,1763,25.7,139,0,0,0,0,0,0,M_2224
6293,L53472,L,301.0,310.4,1614,31.6,84,0,0,0,0,0,0,M_7292
3123,L50302,L,300.0,309.3,1473,46.0,35,0,0,0,0,0,0,M_4122
511,L47690,L,297.5,309.3,1564,37.5,20,0,0,0,0,0,0,M_1510
5795,M20654,M,301.9,311.5,1492,40.8,150,0,0,0,0,0,0,M_6794
8182,L55361,L,299.7,311.2,1835,23.7,183,0,0,0,0,0,0,M_9181
9418,H38831,H,298.1,308.4,1515,43.8,6,0,0,0,0,0,0,M_10417
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,M_1096
6682,L53861,L,301.4,310.7,1425,45.1,7,0,0,0,0,0,0,M_7681
1513,H30926,H,298.0,308.7,1503,36.3,5,0,0,0,0,0,0,M_2512
8792,M23651,M,297.4,308.5,1412,45.5,49,0,0,0,0,0,0,M_9791
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,M_1119
7792,L54971,L,300.1,311.4,1418,47.7,73,0,0,0,0,0,0,M_8791
6518,L53697,L,301.1,310.1,1540,36.6,28,0,0,0,0,0,0,M_7517
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,M_1033
7888,L55067,L,300.7,312.4,1590,37.9,98,0,0,0,0,0,0,M_8887
6831,M21690,M,301.0,310.9,1359,53.4,180,0,0,0,0,0,0,M_7830
5422,M20281,M,302.6,312.3,1566,36.6,46,0,0,0,0,0,0,M_6421
1069,L48248,L,296.8,307.8,1394,47.7,155,0,0,0,0,0,0,M_2068
1348,L48527,L,298.7,310.2,1717,27.3,26,0,0,0,0,0,0,M_2347
4748,L51927,L,303.3,311.2,1763,27.3,27,0,0,0,0,0,0,M_5747
6006,L53185,L,300.6,310.5,1570,38.3,14,0,0,0,0,0,0,M_7005
6040,L53219,L,300.6,310.9,1433,42.6,101,0,0,0,0,0,0,M_7039
3818,M18677,M,302.1,310.6,1421,52.0,95,0,0,0,0,0,0,M_4817
8447,L55626,L,298.5,309.9,1482,42.1,15,0,0,0,0,0,0,M_9446
5270,L52449,L,303.5,312.9,1504,44.8,111,0,0,0,0,0,0,M_6269
6898,L54077,L,301.0,311.6,1352,63.5,143,0,0,0,0,0,0,M_7897
5310,M20169,M,303.9,313.2,1422,48.0,215,1,1,0,0,0,0,M_6309
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,M_1031
5675,M20534,M,302.2,311.7,1393,42.5,53,0,0,0,0,0,0,M_6674
4387,L51566,L,301.9,309.7,1719,31.9,0,0,0,0,0,0,0,M_5386
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,M_1029
4203,L51382,L,302.4,311.0,1555,40.6,205,0,0,0,0,0,0,M_5202
7508,L54687,L,300.5,311.9,1750,28.3,207,0,0,0,0,0,0,M_8507
736,L47915,L,296.9,308.4,1557,32.4,173,0,0,0,0,0,0,M_1735
2068,L49247,L,299.7,309.6,1553,36.8,174,0,0,0,0,0,0,M_3067
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,M_1106
9645,L56824,L,299.3,310.4,1629,32.6,177,0,0,0,0,0,0,M_10644
8895,M23754,M,297.5,308.7,1546,38.0,123,0,0,0,0,0,0,M_9894
8021,H37434,H,300.9,312.0,1720,27.9,202,0,0,0,0,0,0,M_9020
2233,L49412,L,299.5,308.6,1672,30.5,177,0,0,0,0,0,0,M_3232
994,M15853,M,296.1,307.1,1485,36.0,169,0,0,0,0,0,0,M_1993
9413,L56592,L,298.0,308.5,1702,26.7,203,0,0,0,0,0,0,M_10412
7059,L54238,L,300.7,310.6,1520,45.9,146,0,0,0,0,0,0,M_8058
6790,M21649,M,301.1,310.5,1646,30.7,76,0,0,0,0,0,0,M_7789
361,M15220,M,297.5,308.3,1521,38.2,74,0,0,0,0,0,0,M_1360
305,L47484,L,297.8,308.4,1737,27.5,146,0,0,0,0,0,0,M_1304
2628,M17487,M,299.8,309.6,1346,53.2,95,0,0,0,0,0,0,M_3627
8966,L56145,L,297.1,307.9,1496,44.7,88,0,0,0,0,0,0,M_9965
4514,L51693,L,302.4,310.3,1900,24.4,113,0,0,0,0,0,0,M_5513
5911,M20770,M,300.8,310.3,1458,43.4,0,0,0,0,0,0,0,M_6910
8314,M23173,M,298.8,310.0,1484,44.9,80,0,0,0,0,0,0,M_9313
3101,L50280,L,299.8,309.1,1578,42.1,191,0,0,0,0,0,0,M_4100
5704,H35117,H,302.3,311.7,1456,45.4,130,0,0,0,0,0,0,M_6703
3899,M18758,M,302.1,311.1,1423,36.8,80,0,0,0,0,0,0,M_4898
5441,H34854,H,303.0,312.5,1698,30.0,89,0,0,0,0,0,0,M_6440
7931,L55110,L,300.6,311.6,1455,48.0,203,0,0,0,0,0,0,M_8930
622,L47801,L,298.3,310.1,1408,45.3,78,0,0,0,0,0,0,M_1621
7236,L54415,L,299.8,310.0,1361,53.8,167,0,0,0,0,0,0,M_8235
2499,L49678,L,299.1,308.9,1467,47.2,218,0,0,0,0,0,0,M_3498
714,L47893,L,297.4,308.6,1439,46.4,114,0,0,0,0,0,0,M_1713
8404,L55583,L,298.5,309.6,1462,45.1,115,0,0,0,0,0,0,M_9403
2856,L50035,L,300.5,309.3,1528,37.0,221,0,0,0,0,0,0,M_3855
4270,L51449,L,302.6,311.0,1610,39.2,152,0,0,0,0,0,0,M_5269
2909,L50088,L,300.7,309.5,1251,59.9,120,0,0,0,0,0,0,M_3908
8081,H37494,H,300.2,311.5,1432,43.6,127,0,0,0,0,0,0,M_9080
4517,L51696,L,302.5,310.3,1539,39.0,119,0,0,0,0,0,0,M_5516
1262,H30675,H,297.6,309.0,1885,25.2,24,0,0,0,0,0,0,M_2261
3161,M18020,M,300.4,309.7,1367,51.2,143,0,0,0,0,0,0,M_4160
971,L48150,L,295.8,306.5,1568,35.1,111,0,0,0,0,0,0,M_1970
3913,L51092,L,302.4,311.4,1475,40.4,126,0,0,0,0,0,0,M_4912
5199,L52378,L,303.8,312.8,1428,53.3,152,0,0,0,0,0,0,M_6198
8847,M23706,M,297.4,308.8,1325,62.4,204,1,1,0,0,1,0,M_9846
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,M_1259
3791,L50970,L,302.3,310.9,1412,48.9,28,0,0,0,0,0,0,M_4790
9203,L56382,L,297.8,308.8,1548,36.9,64,0,0,0,0,0,0,M_10202
488,M15347,M,297.4,309.1,1463,35.0,183,0,0,0,0,0,0,M_1487
7908,L55087,L,300.8,312.3,1858,26.3,144,0,0,0,0,0,0,M_8907
519,L47698,L,297.6,309.5,1924,20.6,37,0,0,0,0,0,0,M_1518
8343,L55522,L,298.7,309.7,1510,40.6,162,0,0,0,0,0,0,M_9342
312,M15171,M,298.0,308.6,1453,44.1,165,0,0,0,0,0,0,M_1311
3232,L50411,L,300.7,309.3,1425,45.3,100,0,0,0,0,0,0,M_4231
7933,L55112,L,300.7,311.8,1478,41.9,207,0,0,0,0,0,0,M_8932
7458,L54637,L,300.1,311.6,1530,36.6,74,0,0,0,0,0,0,M_8457
9784,H39197,H,298.8,309.9,1466,44.6,66,0,0,0,0,0,0,M_10783
5184,M20043,M,303.9,313.0,1901,22.5,110,0,0,0,0,0,0,M_6183
8077,L55256,L,300.3,311.8,1360,48.0,119,0,0,0,0,0,0,M_9076
6502,M21361,M,300.9,310.0,1600,36.0,204,0,0,0,0,0,0,M_7501
6791,M21650,M,301.1,310.7,2219,16.7,79,0,0,0,0,0,0,M_7790
7773,H37186,H,300.3,311.5,1464,41.0,29,0,0,0,0,0,0,M_8772
2738,M17597,M,299.7,309.1,1508,41.2,152,0,0,0,0,0,0,M_3737
7842,L55021,L,300.1,311.5,1471,47.2,201,0,0,0,0,0,0,M_8841
6262,L53441,L,301.1,310.6,1417,47.6,10,0,0,0,0,0,0,M_7261
8206,M23065,M,299.4,310.9,1446,47.3,12,0,0,0,0,0,0,M_9205
1248,L48427,L,297.2,308.5,1513,42.9,212,0,0,0,0,0,0,M_2247
9336,L56515,L,298.4,308.9,1501,50.0,203,0,0,0,0,0,0,M_10335
4195,L51374,L,302.4,311.0,1423,46.2,186,0,0,0,0,0,0,M_5194
8001,M22860,M,300.8,312.0,1443,53.3,151,0,0,0,0,0,0,M_9000
7378,L54557,L,299.5,310.0,1349,52.7,92,0,0,0,0,0,0,M_8377
3435,M18294,M,301.5,310.5,1412,44.1,184,0,0,0,0,0,0,M_4434
5382,L52561,L,302.8,312.4,1651,27.0,200,0,0,0,0,0,0,M_6381
959,L48138,L,295.8,306.4,1399,47.6,84,0,0,0,0,0,0,M_1958
417,L47596,L,297.4,308.5,1495,37.8,211,0,0,0,0,0,0,M_1416
5742,M20601,M,302.3,311.7,1483,40.5,8,0,0,0,0,0,0,M_6741
6728,L53907,L,301.5,310.8,1785,25.5,120,0,0,0,0,0,0,M_7727
4382,L51561,L,301.9,309.6,1446,43.2,225,0,0,0,0,0,0,M_5381
5197,H34610,H,303.9,313.0,1517,36.0,142,0,0,0,0,0,0,M_6196
1113,M15972,M,296.5,307.4,1350,55.6,69,0,0,0,0,0,0,M_2112
2689,L49868,L,299.9,309.4,1322,53.9,33,0,0,0,0,0,0,M_3688
6473,H35886,H,300.4,309.6,1571,33.6,126,0,0,0,0,0,0,M_7472
8820,H38233,H,297.4,308.7,1349,48.9,120,0,0,0,0,0,0,M_9819
7808,M22667,M,300.0,311.5,1451,49.0,115,0,0,0,0,0,0,M_8807
3411,L50590,L,301.2,310.3,1451,39.7,123,0,0,0,0,0,0,M_4410
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,M_1080
4614,L51793,L,303.1,311.3,1403,55.6,150,0,0,0,0,0,0,M_5613
1374,M16233,M,298.8,310.3,1366,59.0,94,0,0,0,0,0,0,M_2373
1510,L48689,L,298.0,308.5,1429,37.7,220,1,1,0,0,0,0,M_2509
6443,L53622,L,300.7,310.2,1348,54.8,50,0,0,0,0,0,0,M_7442
3071,L50250,L,300.0,309.1,1631,28.3,110,0,0,0,0,0,0,M_4070
3016,L50195,L,300.5,309.7,1589,30.5,198,0,0,0,0,0,0,M_4015
4823,L52002,L,303.5,311.9,1565,38.9,12,0,0,0,0,0,0,M_5822
7822,L55001,L,299.9,311.3,1802,24.4,151,0,0,0,0,0,0,M_8821
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,M_1092
9421,L56600,L,298.0,308.4,1472,42.0,15,0,0,0,0,0,0,M_10420
6600,L53779,L,301.6,310.7,1494,39.5,24,0,0,0,0,0,0,M_7599
4443,L51622,L,302.5,310.2,1563,34.8,150,0,0,0,0,0,0,M_5442
7602,L54781,L,300.4,311.2,1351,62.0,18,0,0,0,0,0,0,M_8601
3835,M18694,M,302.3,311.1,1295,57.1,146,0,0,0,0,0,0,M_4834
9702,L56881,L,298.8,309.8,1485,42.4,74,0,0,0,0,0,0,M_10701
4322,L51501,L,301.7,310.2,1686,28.9,59,0,0,0,0,0,0,M_5321
3394,L50573,L,301.5,310.6,1490,48.1,81,0,0,0,0,0,0,M_4393
4752,L51931,L,303.3,311.4,1510,37.3,36,0,0,0,0,0,0,M_5751
7229,H36642,H,299.8,309.7,1368,47.4,148,0,0,0,0,0,0,M_8228
9191,M24050,M,298.0,309.0,1439,38.5,34,0,0,0,0,0,0,M_10190
2361,H31774,H,299.2,308.4,1388,53.2,59,0,0,0,0,0,0,M_3360
1148,M16007,M,297.1,308.0,1690,25.6,159,0,0,0,0,0,0,M_2147
5666,L52845,L,302.3,311.4,1845,21.9,27,0,0,0,0,0,0,M_6665
8075,L55254,L,300.4,312.0,1631,34.9,115,0,0,0,0,0,0,M_9074
4943,L52122,L,303.5,312.6,1602,34.2,108,0,0,0,0,0,0,M_5942
3663,M18522,M,302.3,311.7,1517,37.6,124,0,0,0,0,0,0,M_4662
1563,L48742,L,298.2,308.3,2216,16.8,139,0,0,0,0,0,0,M_2562
4113,H33526,H,301.9,310.5,1472,39.7,187,0,0,0,0,0,0,M_5112
9050,L56229,L,297.3,308.5,1545,34.3,74,0,0,0,0,0,0,M_10049
9276,L56455,L,298.2,308.7,1605,29.4,47,0,0,0,0,0,0,M_10275
8538,L55717,L,298.6,309.5,1730,30.2,41,0,0,0,0,0,0,M_9537
795,H30208,H,296.9,307.9,1547,32.6,79,0,0,0,0,0,0,M_1794
5854,L53033,L,301.2,311.0,1567,35.1,64,0,0,0,0,0,0,M_6853
7619,M22478,M,300.5,311.4,1312,51.4,60,0,0,0,0,0,0,M_8618
1594,L48773,L,298.0,308.3,1544,34.7,213,0,0,0,0,0,0,M_2593
7418,M22277,M,300.1,311.3,1495,41.0,193,0,0,0,0,0,0,M_8417
5267,M20126,M,303.4,312.8,1518,38.7,103,0,0,0,0,0,0,M_6266
7147,L54326,L,300.4,309.9,1496,31.8,154,0,0,0,0,0,0,M_8146
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,M_1088
8695,L55874,L,297.2,308.5,1766,25.8,7,0,0,0,0,0,0,M_9694
9732,L56911,L,298.8,310.0,1389,49.6,149,0,0,0,0,0,0,M_10731
9446,M24305,M,298.2,309.0,1446,45.8,80,0,0,0,0,0,0,M_10445
6754,L53933,L,301.6,310.9,1385,50.7,195,0,0,0,0,0,0,M_7753
3502,H32915,H,301.9,311.0,1291,63.6,137,0,0,0,0,0,0,M_4501
2234,L49413,L,299.5,308.7,2549,13.0,179,1,0,0,1,0,0,M_3233
2803,M17662,M,300.3,309.6,1509,46.6,95,0,0,0,0,0,0,M_3802
4424,M19283,M,302.6,310.2,1563,39.0,97,0,0,0,0,0,0,M_5423
5663,L52842,L,302.2,311.5,1616,34.0,19,0,0,0,0,0,0,M_6662
7170,L54349,L,300.3,310.2,1492,52.3,2,0,0,0,0,0,0,M_8169
8337,L55516,L,298.9,309.7,1449,48.8,147,0,0,0,0,0,0,M_9336
2148,L49327,L,299.4,308.9,1550,33.7,174,0,0,0,0,0,0,M_3147
7969,L55148,L,300.9,312.2,1811,23.2,72,0,0,0,0,0,0,M_8968
6551,L53730,L,301.3,310.7,1516,46.0,119,0,0,0,0,0,0,M_7550
7643,M22502,M,300.4,311.4,1604,31.7,119,0,0,0,0,0,0,M_8642
6164,L53343,L,300.8,310.7,1358,48.1,198,0,0,0,0,0,0,M_7163
1495,M16354,M,298.0,308.7,1377,48.5,181,0,0,0,0,0,0,M_2494
7696,L54875,L,300.6,311.7,1488,47.7,22,0,0,0,0,0,0,M_8695
7094,H36507,H,300.7,310.3,1369,50.7,12,0,0,0,0,0,0,M_8093
1409,L48588,L,298.9,310.0,1452,48.9,185,0,0,0,0,0,0,M_2408
6691,L53870,L,301.7,311.0,1343,49.2,25,0,0,0,0,0,0,M_7690
3401,H32814,H,301.4,310.7,1536,44.4,96,0,0,0,0,0,0,M_4400
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,M_1108
5636,L52815,L,302.6,312.1,1502,47.3,171,0,0,0,0,0,0,M_6635
8482,M23341,M,298.3,309.4,1595,29.0,103,0,0,0,0,0,0,M_9481
6604,M21463,M,301.5,310.6,1403,47.4,34,0,0,0,0,0,0,M_7603
1091,L48270,L,296.9,307.7,1464,41.4,6,0,0,0,0,0,0,M_2090
5560,M20419,M,302.5,312.0,1451,43.2,189,0,0,0,0,0,0,M_6559
9412,L56591,L,298.0,308.5,1404,46.6,201,0,0,0,0,0,0,M_10411
8143,M23002,M,299.7,311.0,1448,49.8,80,0,0,0,0,0,0,M_9142
8664,L55843,L,297.5,308.6,1671,29.4,136,0,0,0,0,0,0,M_9663
6596,M21455,M,301.5,310.7,1460,38.6,14,0,0,0,0,0,0,M_7595
624,L47803,L,298.4,310.1,1926,23.7,83,0,0,0,0,0,0,M_1623
6871,H36284,H,301.0,311.3,1597,39.2,66,0,0,0,0,0,0,M_7870
4814,M19673,M,303.3,311.8,1536,40.6,205,0,0,0,0,0,0,M_5813
6553,L53732,L,301.4,310.7,1786,26.1,123,0,0,0,0,0,0,M_7552
7530,L54709,L,300.1,311.4,1467,35.7,45,0,0,0,0,0,0,M_8529
5796,M20655,M,301.9,311.4,1465,39.9,153,0,0,0,0,0,0,M_6795
7437,L54616,L,300.0,311.4,1487,41.2,22,0,0,0,0,0,0,M_8436
4218,L51397,L,301.9,310.6,1462,38.8,22,0,0,0,0,0,0,M_5217
